"","shname","gid","stid","discname","discid","semnum","sum"
"1","ИС-Б11",222,3842,"Иностранный язык",2,2,85
"2","ИС-Б11",222,3842,"Иностранный язык",2,3,100
"3","ИС-Б11",222,3842,"Физическая культура",3,2,90
"4","ИС-Б11",222,3842,"Физическая культура",3,3,90
"5","ИС-Б11",222,3842,"Информатика",6,2,68
"6","ИС-Б11",222,3842,"Математический анализ",12,2,64
"7","ИС-Б11",222,3842,"Математический анализ",12,3,70
"8","ИС-Б11",222,3842,"Физика",14,2,65
"9","ИС-Б11",222,3842,"Физика",14,3,60
"10","ИС-Б11",222,3842,"Дискретная математика",23,2,66
"11","ИС-Б11",222,3842,"Математическая логика и теория алгоритмов",24,3,75
"12","ИС-Б11",222,3842,"Философия",26,3,86
"13","ИС-Б11",222,3842,"Информационные технологии",27,3,79
"14","ИС-Б11",222,3842,"Электротехника и электроника",28,3,63
"15","ИС-Б11",222,3842,"Объектно-ориентированное программирование",45,3,89
"16","ИС-Б11",222,3842,"Архитектура ЭВМ и систем",125,3,65
"17","ИС-Б11",222,3842,"Введение в специальность",171,2,100
"18","ИС-Б11",222,3842,"Учебная практика",339,2,95
"19","ИС-Б11",222,3842,"Программирование на языке высокого уровня",913,2,79
"20","ИС-Б11",222,3842,"История",1114,2,70
"21","ИС-Б11",222,3843,"Иностранный язык",2,2,75
"22","ИС-Б11",222,3843,"Иностранный язык",2,3,85
"23","ИС-Б11",222,3843,"Физическая культура",3,2,80
"24","ИС-Б11",222,3843,"Физическая культура",3,3,80
"25","ИС-Б11",222,3843,"Информатика",6,2,60
"26","ИС-Б11",222,3843,"Математический анализ",12,2,60
"27","ИС-Б11",222,3843,"Математический анализ",12,3,60
"28","ИС-Б11",222,3843,"Физика",14,2,60
"29","ИС-Б11",222,3843,"Физика",14,3,60
"30","ИС-Б11",222,3843,"Дискретная математика",23,2,60
"31","ИС-Б11",222,3843,"Математическая логика и теория алгоритмов",24,3,60
"32","ИС-Б11",222,3843,"Философия",26,3,86
"33","ИС-Б11",222,3843,"Информационные технологии",27,3,81
"34","ИС-Б11",222,3843,"Электротехника и электроника",28,3,77
"35","ИС-Б11",222,3843,"Объектно-ориентированное программирование",45,3,87
"36","ИС-Б11",222,3843,"Архитектура ЭВМ и систем",125,3,80
"37","ИС-Б11",222,3843,"Введение в специальность",171,2,95
"38","ИС-Б11",222,3843,"Учебная практика",339,2,95
"39","ИС-Б11",222,3843,"Программирование на языке высокого уровня",913,2,62
"40","ИС-Б11",222,3843,"История",1114,2,80
"41","ИС-Б11",222,3844,"Иностранный язык",2,2,75
"42","ИС-Б11",222,3844,"Иностранный язык",2,3,85
"43","ИС-Б11",222,3844,"Физическая культура",3,2,91
"44","ИС-Б11",222,3844,"Физическая культура",3,3,90
"45","ИС-Б11",222,3844,"Информатика",6,2,75
"46","ИС-Б11",222,3844,"Математический анализ",12,2,60
"47","ИС-Б11",222,3844,"Математический анализ",12,3,60
"48","ИС-Б11",222,3844,"Физика",14,2,65
"49","ИС-Б11",222,3844,"Физика",14,3,65
"50","ИС-Б11",222,3844,"Дискретная математика",23,2,84
"51","ИС-Б11",222,3844,"Математическая логика и теория алгоритмов",24,3,86
"52","ИС-Б11",222,3844,"Философия",26,3,91
"53","ИС-Б11",222,3844,"Информационные технологии",27,3,78
"54","ИС-Б11",222,3844,"Электротехника и электроника",28,3,65
"55","ИС-Б11",222,3844,"Объектно-ориентированное программирование",45,3,84
"56","ИС-Б11",222,3844,"Архитектура ЭВМ и систем",125,3,80
"57","ИС-Б11",222,3844,"Введение в специальность",171,2,95
"58","ИС-Б11",222,3844,"Учебная практика",339,2,95
"59","ИС-Б11",222,3844,"Программирование на языке высокого уровня",913,2,75
"60","ИС-Б11",222,3844,"История",1114,2,65
"61","ИС-Б11",222,3845,"Иностранный язык",2,2,66
"62","ИС-Б11",222,3845,"Физическая культура",3,2,81
"63","ИС-Б11",222,3845,"Информатика",6,2,68
"64","ИС-Б11",222,3845,"Математический анализ",12,2,60
"65","ИС-Б11",222,3845,"Физика",14,2,35
"66","ИС-Б11",222,3845,"Дискретная математика",23,2,35
"67","ИС-Б11",222,3845,"Введение в специальность",171,2,95
"68","ИС-Б11",222,3845,"Учебная практика",339,2,95
"69","ИС-Б11",222,3845,"Программирование на языке высокого уровня",913,2,73
"70","ИС-Б11",222,3845,"История",1114,2,65
"71","ИС-Б11",222,3846,"Иностранный язык",2,2,99
"72","ИС-Б11",222,3846,"Иностранный язык",2,3,100
"73","ИС-Б11",222,3846,"Физическая культура",3,2,90
"74","ИС-Б11",222,3846,"Физическая культура",3,3,89
"75","ИС-Б11",222,3846,"Информатика",6,2,81
"76","ИС-Б11",222,3846,"Математический анализ",12,2,85
"77","ИС-Б11",222,3846,"Математический анализ",12,3,75
"78","ИС-Б11",222,3846,"Физика",14,2,75
"79","ИС-Б11",222,3846,"Физика",14,3,85
"80","ИС-Б11",222,3846,"Дискретная математика",23,2,80
"81","ИС-Б11",222,3846,"Математическая логика и теория алгоритмов",24,3,88
"82","ИС-Б11",222,3846,"Философия",26,3,99
"83","ИС-Б11",222,3846,"Информационные технологии",27,3,90
"84","ИС-Б11",222,3846,"Электротехника и электроника",28,3,85
"85","ИС-Б11",222,3846,"Объектно-ориентированное программирование",45,3,86
"86","ИС-Б11",222,3846,"Архитектура ЭВМ и систем",125,3,90
"87","ИС-Б11",222,3846,"Введение в специальность",171,2,100
"88","ИС-Б11",222,3846,"Учебная практика",339,2,95
"89","ИС-Б11",222,3846,"Программирование на языке высокого уровня",913,2,79
"90","ИС-Б11",222,3846,"История",1114,2,90
"91","ИС-Б11",222,3847,"Иностранный язык",2,2,98
"92","ИС-Б11",222,3847,"Иностранный язык",2,3,100
"93","ИС-Б11",222,3847,"Физическая культура",3,2,90
"94","ИС-Б11",222,3847,"Физическая культура",3,3,89
"95","ИС-Б11",222,3847,"Информатика",6,2,90
"96","ИС-Б11",222,3847,"Математический анализ",12,2,60
"97","ИС-Б11",222,3847,"Математический анализ",12,3,77
"98","ИС-Б11",222,3847,"Физика",14,2,60
"99","ИС-Б11",222,3847,"Физика",14,3,65
"100","ИС-Б11",222,3847,"Дискретная математика",23,2,83
"101","ИС-Б11",222,3847,"Математическая логика и теория алгоритмов",24,3,78
"102","ИС-Б11",222,3847,"Философия",26,3,92
"103","ИС-Б11",222,3847,"Информационные технологии",27,3,80
"104","ИС-Б11",222,3847,"Электротехника и электроника",28,3,84
"105","ИС-Б11",222,3847,"Объектно-ориентированное программирование",45,3,89
"106","ИС-Б11",222,3847,"Архитектура ЭВМ и систем",125,3,65
"107","ИС-Б11",222,3847,"Введение в специальность",171,2,95
"108","ИС-Б11",222,3847,"Учебная практика",339,2,95
"109","ИС-Б11",222,3847,"Программирование на языке высокого уровня",913,2,75
"110","ИС-Б11",222,3847,"История",1114,2,82
"111","ИС-Б11",222,3848,"Иностранный язык",2,2,67
"112","ИС-Б11",222,3848,"Иностранный язык",2,3,80
"113","ИС-Б11",222,3848,"Физическая культура",3,2,80
"114","ИС-Б11",222,3848,"Физическая культура",3,3,87
"115","ИС-Б11",222,3848,"Информатика",6,2,92
"116","ИС-Б11",222,3848,"Математический анализ",12,2,60
"117","ИС-Б11",222,3848,"Математический анализ",12,3,60
"118","ИС-Б11",222,3848,"Физика",14,2,60
"119","ИС-Б11",222,3848,"Физика",14,3,60
"120","ИС-Б11",222,3848,"Дискретная математика",23,2,63
